Date,Open,High,Low,Close,Volume
12/09/2011,259.239227,266.261261,259.009003,265.325317,5335400
13/09/2011,266.266266,267.207214,261.961975,265.025024,4703600
14/09/2011,266.561554,268.743744,263.173187,266.3013,5383400
15/09/2011,268.018005,272.762756,267.547546,271.551544,5915600
16/09/2011,272.672668,273.693695,271.841827,273.613617,7061500
19/09/2011,270.445435,275.22522,267.957947,273.608612,4931800
20/09/2011,274.974976,279.539551,271.606598,273.588593,5552600
21/09/2011,274.11911,277.777771,269.699707,269.869873,5023500
22/09/2011,263.388397,264.654663,257.257263,260.590576,8791700
23/09/2011,258.538544,263.47348,257.507507,263.018005,5549000
26/09/2011,263.888885,266.73172,256.881897,266.211212,5263100
27/09/2011,269.369354,273.798798,268.293304,269.939941,6015700
28/09/2011,271.021027,272.282288,264.114105,264.684692,4522000
29/09/2011,268.2883,268.918915,259.964966,264.014008,5807300
30/09/2011,260.365356,262.262268,257.447449,257.777771,5441700
03/10/2011,255.180176,256.256256,247.747742,248.008011,8939800
04/10/2011,245.260254,251.97197,240.540543,251.201202,8309200
05/10/2011,248.423416,254.15416,240.625626,252.6026,9059100
06/10/2011,254.003998,257.872864,251.551544,257.61261,6841700
07/10/2011,258.673676,260.510498,255.405411,257.81781,5706000
10/10/2011,262.852844,269.003998,261.861847,268.853851,4639700
11/10/2011,266.997009,273.673676,266.997009,271.861847,5701000
12/10/2011,274.339325,277.892883,272.587585,274.524536,6349200
